index,raw_tick_uint32,intensity_int16,endianness
373,4294959754,0,LE
374,3797024768,-1,LE
375,0,-7653,LE
376,65535,0,LE
377,4294959589,0,LE
378,3786473472,-1,LE
379,0,-7810,LE
380,65535,0,LE
381,4294959437,0,LE
382,3776774144,-1,LE
383,0,-7953,LE
384,65535,0,LE
385,4294959299,0,LE
386,3768057856,-1,LE
387,0,-8080,LE
388,65535,0,LE
389,4294959178,0,LE
390,3760586752,-1,LE
391,0,-8188,LE
392,65535,0,LE
393,4294959075,0,LE
394,3754229760,-1,LE
395,0,-8279,LE
396,65535,0,LE
397,4294958990,0,LE
398,3749052416,-1,LE
399,0,-8353,LE
400,65535,0,LE
401,4294958922,0,LE
402,3744858112,-1,LE
403,0,-8412,LE
404,65535,0,LE
405,4294958868,0,LE
406,3741646848,-1,LE
407,0,-8457,LE
408,65535,0,LE
409,4294958827,0,LE
410,3739156480,-1,LE
411,0,-8491,LE
412,65535,0,LE
413,4294958795,0,LE
414,3737255936,-1,LE
415,0,-8518,LE
416,65535,0,LE
417,4294958771,0,LE
418,3735814144,-1,LE
419,0,-8539,LE
420,65535,0,LE
421,4294958750,0,LE
422,3734503424,-1,LE
423,0,-8558,LE
424,65535,0,LE
425,4294958732,0,LE
426,3733323776,-1,LE
427,0,-8577,LE
428,65535,0,LE
429,4294958713,0,LE
430,3732013056,-1,LE
431,0,-8598,LE
432,65535,0,LE
433,4294958690,0,LE
434,3730374656,-1,LE
435,0,-8624,LE
436,65535,0,LE
437,4294958662,0,LE
438,3728408576,-1,LE
439,0,-8656,LE
440,65535,0,LE
441,4294958628,0,LE
442,3726114816,-1,LE
443,0,-8694,LE
444,65535,0,LE
445,4294958589,0,LE
446,3723362304,-1,LE
447,0,-8737,LE
448,65535,0,LE
449,4294958544,0,LE
450,3720347648,-1,LE
451,0,-8784,LE
452,65535,0,LE
453,4294958495,0,LE
454,3717070848,-1,LE
455,0,-8836,LE
456,65535,0,LE
457,4294958443,0,LE
458,3713597440,-1,LE
459,0,-8889,LE
460,65535,0,LE
461,4294958389,0,LE
462,3709992960,-1,LE
463,0,-8944,LE
464,65535,0,LE
465,4294958334,0,LE
466,3706388480,-1,LE
467,0,-8999,LE
468,65535,0,LE
469,4294958279,0,LE
470,3702915072,-1,LE
471,0,-9051,LE
472,65535,0,LE
473,4294958228,0,LE
474,3699638272,-1,LE
475,0,-9100,LE
476,65535,0,LE
477,4294958181,0,LE
478,3696623616,-1,LE
479,0,-9144,LE
480,65535,0,LE
481,4294958138,0,LE
482,3694002176,-1,LE
483,0,-9182,LE
484,65535,0,LE
485,4294958102,0,LE
486,3691708416,-1,LE
487,0,-9216,LE
488,65535,0,LE
489,4294958070,0,LE
490,3689742336,-1,LE
491,0,-9244,LE
492,65535,0,LE
493,4294958043,0,LE
494,3688038400,-1,LE
495,0,-9270,LE
496,65535,0,LE
497,4294958019,0,LE
498,3686465536,-1,LE
499,0,-9292,LE
500,65535,0,LE
501,4294957997,0,LE
502,3685023744,-1,LE
503,0,-9314,LE
504,65535,0,LE
505,4294957976,0,LE
506,3683713024,-1,LE
507,0,-9334,LE
508,65535,0,LE
509,4294957955,0,LE
510,3682402304,-1,LE
511,0,-9354,LE
512,65535,0,LE
513,4294957935,0,LE
514,3681026048,-1,LE
515,0,-9375,LE
516,65535,0,LE
517,4294957914,0,LE
518,3679649792,-1,LE
519,0,-9396,LE
520,65535,0,LE
521,4294957892,0,LE
522,3678142464,-1,LE
523,0,-9420,LE
524,65535,0,LE
525,4294957868,0,LE
526,3676569600,-1,LE
527,0,-9444,LE
528,65535,0,LE
529,4294957844,0,LE
530,3674931200,-1,LE
531,0,-9469,LE
532,65535,0,LE
533,4294957818,0,LE
534,3673292800,-1,LE
535,0,-9495,LE
536,65535,0,LE
537,4294957793,0,LE
538,3671654400,-1,LE
539,0,-9519,LE
540,65535,0,LE
541,4294957769,0,LE
542,3670081536,-1,LE
543,0,-9543,LE
544,65535,0,LE
545,4294957746,0,LE
546,3668574208,-1,LE
547,0,-9565,LE
548,65535,0,LE
549,4294957724,0,LE
550,3667132416,-1,LE
551,0,-9586,LE
552,65535,0,LE
553,4294957703,0,LE
554,3665821696,-1,LE
555,0,-9607,LE
556,65535,0,LE
557,4294957683,0,LE
558,3664510976,-1,LE
559,0,-9626,LE
560,65535,0,LE
561,4294957663,0,LE
562,3663265792,-1,LE
563,0,-9646,LE
564,65535,0,LE
565,4294957644,0,LE
566,3661955072,-1,LE
567,0,-9666,LE
568,65535,0,LE
569,4294957624,0,LE
